                           time                    temp                     den                    ener                    sdot                   sneut                   s-snu                      ye                   1-sum
     98  5.3129019884400375E-01  1.7473981685606989E+08  7.7190805762963491E+06  1.382835E+17 -8.236159E-06  0.000000E+00 -8.236159E-06  5.000000E-01  0.000000E+00  2.867092E-07 -3.481104E-02
     99  5.3129056063933722E-01  1.7473999512905759E+08  7.7190891586120669E+06  1.382835E+17 -8.246439E-06  0.000000E+00 -8.246439E-06  5.000000E-01  0.000000E+00  2.869686E-07 -3.479909E-02
    100  5.3129128423000416E-01  1.7474035167503300E+08  7.7191063232435016E+06  1.382835E+17 -8.368529E-06  0.000000E+00 -8.368529E-06  5.000000E-01  0.000000E+00  2.893609E-07 -3.457727E-02
    101  5.3129273141133793E-01  1.7474106476698375E+08  7.7191406525063682E+06  1.382835E+17 -8.570313E-06  0.000000E+00 -8.570313E-06  5.000000E-01  0.000000E+00  2.944374E-07 -3.435551E-02
    102  5.3129562577400546E-01  1.7474249095088524E+08  7.7192093110321015E+06  1.382835E+17 -8.561952E-06  0.000000E+00 -8.561952E-06  5.000000E-01  0.000000E+00  2.979807E-07 -3.480289E-02
    103  5.3130141449934054E-01  1.7474534331868824E+08  7.7193466280835690E+06  1.382835E+17 -7.853789E-06  0.000000E+00 -7.853789E-06  5.000000E-01  0.000000E+00  2.899913E-07 -3.692375E-02
    104  5.3131299195001080E-01  1.7475104805429426E+08  7.7196212621865058E+06  1.382835E+17 -7.386489E-06  0.000000E+00 -7.386489E-06  5.000000E-01  0.000000E+00  2.803331E-07 -3.795214E-02
    105  5.3133614685135133E-01  1.7476245752550635E+08  7.7201705303923804E+06  1.382835E+17 -7.024821E-06  0.000000E+00 -7.024821E-06  5.000000E-01  0.000000E+00  2.731046E-07 -3.887708E-02
    106  5.3138245665403239E-01  1.7478527646793050E+08  7.7212690668041287E+06  1.382835E+17 -6.578632E-06  0.000000E+00 -6.578632E-06  5.000000E-01  0.000000E+00  2.684642E-07 -4.080851E-02
    107  5.3147507625939439E-01  1.7483091435277876E+08  7.7234661396276224E+06  1.382835E+17 -6.245183E-06  0.000000E+00 -6.245183E-06  5.000000E-01  0.000000E+00  2.649544E-07 -4.242541E-02
    108  5.3166031547011849E-01  1.7492219012247530E+08  7.7278602852746127E+06  1.382835E+17 -6.229313E-06  0.000000E+00 -6.229313E-06  5.000000E-01  0.000000E+00  2.651431E-07 -4.256377E-02
